,메뉴,가격
0,행사 숯불직화구이 덮밥,"4,900"
1,행사 제육 김치 부대찌개 정식,"7,200"
2,행사 빅치킨마요 김치 부대찌개 정식,"6,300"
3,행사 돈까스도련님 고기고기,"4,900"
4,행사 동백,"4,600"
5,행사 새치 고기고기,"5,200"
6,행사 진달래,"5,900"
7,행사 스팸 김치볶음밥,"3,900"
8,"매화(치킨, 연어구이)","10,000"
9,매화(순살 고등어 간장구이),"10,000"
10,진달래,"7,000"
11,개나리(순살 고등어 간장구이),"8,000"
12,돈까스도련님고기고기,"5,800"
13,탕수육도련님고기고기,"5,800"
14,새치 고기고기,"6,200"
15,돈치 고기고기,"5,400"
16,고기고기,"4,200"
17,숯불직화구이,"6,500"
18,소불고기,"5,000"
19,메가치킨제육,"7,000"
20,칠리 찹쌀탕수육도련님,"4,200"
21,동백,"5,500"
22,치킨제육,"4,500"
23,돈까스도련님,"4,200"
24,제육볶음,"4,100"
25,돈치스팸 도시락,"4,700"
26,제육 김치찌개 정식,"8,200"
27,제육 김치 부대찌개 정식,"8,500"
28,돈치스팸 김치 부대찌개 정식,"8,500"
29,빅치킨마요 김치 부대찌개 정식,"7,400"
30,치킨마요 김치 부대찌개 정식,"6,800"
31,돈치스팸 김치찌개 정식,"8,200"
32,빅치킨마요 김치찌개 정식,"7,000"
33,치킨마요 김치찌개 정식,"6,400"
34,메가스팸마요,"5,600"
35,스팸마요,"3,600"
36,메가치킨마요,"5,500"
37,왕치킨마요,"4,500"
38,빅치킨마요,"3,800"
39,치킨마요,"3,200"
40,참치마요,"3,000"
41,돈치마요,"3,600"
42,치즈 카레도시락,"4,100"
43,돈까스 카레,"4,200"
44,3종치즈 김치볶음밥,"4,800"
45,스팸 김치볶음밥,"4,700"
46,김치볶음밥,"3,900"
47,스팸철판볶음밥,"4,500"
48,소불고기 철판볶음밥,"4,500"
49,소고기 육개장,"4,700"
50,묵은지 김치찌개,"4,500"
51,김치 부대찌개,"5,800"
52,반찬 김치 부대찌개,"4,500"
53,숯불직화구이 덮밥,"5,900"
54,마파두부 덮밥,"5,000"
55,왕카레돈까스덮밥,"5,700"
56,새우돈까스 덮밥,"3,900"
57,돈까스 덮밥,"3,800"
58,소불고기 감초고추장 비빔밥,"5,000"
59,시골제육 두부강된장 비빔밥,"5,000"
60,참치야채 감초고추장,"3,200"
61,두부강정 야채비빔밥,"4,800"
62,열무 두부강된장 비빔밥,"4,300"
63,튼튼도시락,"5,000"
64,반찬 계란말이,"2,500"
65,반찬 치즈계란말이,"3,000"
66,반찬 묵은지김치찌개,"4,000"
67,반찬 소고기육개장,"4,300"
68,반찬 카레,"2,600"
69,반찬 소불고기,"3,900"
70,반찬 순살 고등어데리야끼,"3,600"
71,반찬 치킨,"3,300"
72,반찬 고기고기,"3,200"
73,반찬 돈까스 도련님,"3,500"
74,반찬 제육볶음,"3,100"
75,반찬 토네이도 소세지,"2,600"
76,반찬 반달돈까스,"2,600"
77,리얼꿀 미니호떡,"2,200"
78,바삭 군만두,"2,000"
79,미니 찹쌀핫도그,"2,500"
80,미니 찹쌀탕수육,"2,200"
81,감자고로케,"2,200"
82,케이준후라이,"1,500"
83,고메이 크림 고로케,"3,500"
84,두부연근튀김,"3,000"
85,국물떡볶이 & 토네이도소세지 튀김set,"5,300"
86,리얼 티라미수 찰떡,"1,500"
87,국물 떡볶이,"3,000"
88,토네이도 소세지 튀김세트,"2,900"
89,리얼꿀 미니호떡,"2,200"
90,후라이드 순살(중),"7,000"
91,후라이드 순살(소)_양념치킨소스,"3,500"
92,후라이드 순살(소)_케이준소스,"3,500"
93,찹쌀탕수육박스(대),"10,000"
94,찹쌀탕수육박스(중),"5,000"
95,오리지널 닭강정(중),"7,500"
96,오리지널 닭강정(소),"2,900"
97,치킨 BOX(대),"10,000"
98,치킨BOX(중)_양식소스,"5,000"
99,치킨BOX(중)_타르타르소스,"5,000"
100,오징어젓갈,400
101,오이지무침,700
102,한솥 두부강된장소스,"1,800"
103,한솥 감초볶음고추장소스,500
104,볶음김치,400
105,김치,300
106,무말랭이 무침,300
107,한솥밥,"1,000"
108,현미밥,"1,700"
109,리얼 티라미수 찰떡,"1,500"
110,아이스 애플망고,"1,500"
